strainID,CC_or_ST,CC_or_ST:color,Source,Source:color,tet_gene,tet_gene:color,Quinolone_gene,Quinolone_gene:color,macrolide_gene,macrolide_gene:color,aminoglycoside_gene,aminoglycoside_gene:color,isolation_year,isolation_year:color
S-LS-30-CJ-C-73-1-1-42,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
S-LS-30-CJ-C-67-1-1-38,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
HP12229,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
HP12192,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
S-LS-30-CJ-C-20-1-1-10,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
HP12207,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
HP12196,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
HP12534,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2021,#9FD9F6
S-FF-R1-CJ-C-2-1-1-59,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2019,#D7E7AF
S-FF-R1-CJ-C-3-1-1-61,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2019,#D7E7AF
HP12502,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2021,#9FD9F6
S-LS-30-CJ-C-18-2-1-8,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
S-LS-30-CJ-C-57-1-1-32,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
S-FF-R1-CJ-C-1-1-1-57,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2019,#D7E7AF
S-FF-R2-CJ-C-3-1-1-70,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2020,#A5D4AD
HP12598,,,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC,2023,#CFA7CD
SC1,,,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2023,#CFA7CD
S-LS-30-CJ-C-53-1-1-26,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC,2018,#FFF9B1
S-FF-R1-CJ-C-6-1-1-42,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC,2019,#D7E7AF
S-FF-R2-CJ-C-5-1-1-92,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,2020,#A5D4AD
